;ug;loc;depA;tei;tef;tem
457;São Paulo;Urbana;Municipal;7,0;5,5;5,3
458;São Paulo;Rural;Municipal;5,9;5,6;4,5
459;São Paulo;Total;Privada;8,0;5,2;6,0
460;São Paulo;Urbana;Privada;8,0;5,2;6,0
461;São Paulo;Rural;Privada;6,8;5,0;5,8
462;São Paulo;Total;Pública;7,0;5,8;6,2
463;São Paulo;Urbana;Pública;7,0;5,8;6,2
464;São Paulo;Rural;Pública;5,9;5,8;6,4
465;Paraná;Total;Total;6,8;5,0;5,5
466;Paraná;Urbana;Total;6,8;5,0;5,5
467;Paraná;Rural;Total;4,8;4,7;5,8
468;Paraná;Total;Federal;;5,3;5,2
469;Paraná;Urbana;Federal;;5,3;5,2
470;Paraná;Rural;Federal;;;4,6
471;Paraná;Total;Estadual;4,6;5,3;5,6
472;Paraná;Urbana;Estadual;5,5;5,3;5,5
473;Paraná;Rural;Estadual;4,5;5,1;5,8
474;Paraná;Total;Municipal;6,8;4,8;
475;Paraná;Urbana;Municipal;6,9;4,8;
476;Paraná;Rural;Municipal;4,8;4,5;
477;Paraná;Total;Privada;6,6;4,8;5,4
478;Paraná;Urbana;Privada;6,6;4,8;5,4
479;Paraná;Rural;Privada;4,4;4,4;5,8
480;Paraná;Total;Pública;6,8;5,0;5,5
481;Paraná;Urbana;Pública;6,9;5,1;5,5
482;Paraná;Rural;Pública;4,8;4,7;5,8
483;Santa Catarina;Total;Total;7,4;4,5;4,5
484;Santa Catarina;Urbana;Total;7,4;4,4;4,5
485;Santa Catarina;Rural;Total;6,8;4,5;4,9
486;Santa Catarina;Total;Federal;4,0;4,7;8,0
487;Santa Catarina;Urbana;Federal;4,0;4,7;8,0
488;Santa Catarina;Rural;Federal;;;8,2
489;Santa Catarina;Total;Estadual;12,0;4,2;4,2
490;Santa Catarina;Urbana;Estadual;12,0;4,2;4,2
491;Santa Catarina;Rural;Estadual;;4,2;4,3
492;Santa Catarina;Total;Municipal;7,3;4,5;6,4
493;Santa Catarina;Urbana;Municipal;7,4;4,5;5,5
494;Santa Catarina;Rural;Municipal;6,6;4,6;8,1
495;Santa Catarina;Total;Privada;7,7;4,7;5,4
496;Santa Catarina;Urbana;Privada;7,7;4,7;5,4
497;Santa Catarina;Rural;Privada;10,3;4,3;4,4
498;Santa Catarina;Total;Pública;7,3;4,4;4,4
499;Santa Catarina;Urbana;Pública;7,4;4,4;4,4
500;Santa Catarina;Rural;Pública;6,6;4,5;5,0
501;Rio Grande do Sul;Total;Total;7,7;4,6;5,6
502;Rio Grande do Sul;Urbana;Total;7,9;4,6;5,5
503;Rio Grande do Sul;Rural;Total;5,7;4,7;7,0
504;Rio Grande do Sul;Total;Federal;6,6;5,3;6,7
505;Rio Grande do Sul;Urbana;Federal;6,6;5,3;6,2
